ngram,matched_token,matched_category,line,name,game_id,skipped_token,skip_tag
"['OR', 'vn$', '=', '_', 'THEN', 'GOSUB', '40400', ':']","""w""",skipgram,3290,spukhaus3,5,"""w""",SL
"['(', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh tuer""']","""w""",skipgram,3295,spukhaus3,5,"""w""",SL
"['OR', 'vn$', '=', '_', ')', 'THEN', '13000']","""geh tuer""",skipgram,3295,spukhaus3,5,"""geh tuer""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'GOSUB', '40700', ':']","""nimm kerze""",skipgram,3300,spukhaus3,5,"""nimm kerze""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'h', '=', '1']","""lies zettel""",skipgram,3310,spukhaus3,5,"""lies zettel""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,3400,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'THEN', 'GOSUB', '41000', ':']","""stuhl""",skipgram,3400,spukhaus3,5,"""stuhl""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,3410,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'THEN', 'GOSUB', '21030', 'PRINT']","""stuhl""",skipgram,3410,spukhaus3,5,"""stuhl""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'h', '=', '1']","""nimm schluessel""",skipgram,3420,spukhaus3,5,"""nimm schluessel""",SL
"['PRINT', 'q$', ';', '_', 'GET', 'a$', ':', 'IF']","""{rvs_on}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-G}""",skipgram,4010,spukhaus3,5,"""{rvs_on}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-G}""",SL
"['PRINT', 'q$', ';', '_', 'GOTO', '4005', 'IF', 'oi']","""du bist im labor""",skipgram,4040,spukhaus3,5,"""du bist im labor""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh tuer""']","""n""",skipgram,4110,spukhaus3,5,"""n""",SL
"['OR', 'vn$', '=', '_', 'THEN', '13000', 'IF', 'j$']","""geh tuer""",skipgram,4110,spukhaus3,5,"""geh tuer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40500', ':']","""oeffne tuer""",skipgram,4112,spukhaus3,5,"""oeffne tuer""",SL
"['IF', 'vn$', '=', '_', 'THEN', '4100', 'a$', '=']","""""",skipgram,4120,spukhaus3,5,"""""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40500', ':']","""oeffne tuer""",skipgram,4125,spukhaus3,5,"""oeffne tuer""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""n""']","""geh tuer""",skipgram,4127,spukhaus3,5,"""geh tuer""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'GOSUB', '40400', ':']","""n""",skipgram,4127,spukhaus3,5,"""n""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""n""']","""oeffne tuer""",skipgram,4130,spukhaus3,5,"""oeffne tuer""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""n""",skipgram,4130,spukhaus3,5,"""n""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""s""']","""w""",skipgram,4140,spukhaus3,5,"""w""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'GOSUB', '40200', ':']","""s""",skipgram,4140,spukhaus3,5,"""s""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""o""",skipgram,4150,spukhaus3,5,"""o""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'GOSUB', '40700', ':']","""nimm kerze""",skipgram,4160,spukhaus3,5,"""nimm kerze""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,4200,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'AND', 'ha', '<>', '1']","""regal""",skipgram,4200,spukhaus3,5,"""regal""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,4210,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'AND', 'ha', '=', '1']","""regal""",skipgram,4210,spukhaus3,5,"""regal""",SL
"['IF', 'vn$', '=', '_', 'AND', 'ha', '=', '1']","""nimm hammer""",skipgram,4220,spukhaus3,5,"""nimm hammer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'PRINT', '""{clr}{down}{down}das war gift""', ':']","""trink""",skipgram,4230,spukhaus3,5,"""trink""",SL
"['""trink""', 'THEN', 'PRINT', '_', ':', 'PRINT', '""{down}du bist tot""', ':']","""{clr}{down}{down}das war gift""",skipgram,4230,spukhaus3,5,"""{clr}{down}{down}das war gift""",SL
"['""{clr}{down}{down}das war gift""', ':', 'PRINT', '_', ':', 'GOSUB', '20400', ':']","""{down}du bist tot""",skipgram,4230,spukhaus3,5,"""{down}du bist tot""",SL
"['PRINT', '_', ':', 'vn$', '=', '""""']","""{clr}{down}{down}{down}{red}du stehst vor dem     {down}{down}{down}spukhaus""",skipgram,5000,spukhaus3,5,"""{clr}{down}{down}{down}{red}du stehst vor dem     {down}{down}{down}spukhaus""",SL
"[':', 'vn$', '=', '_', 'PRINT', '""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""', ';', 'FOR']","""""",skipgram,5000,spukhaus3,5,"""""",SL
"['PRINT', '_', ':', 'PRINT', '""{down}suche jane""', 'RETURN']","""{down}{down}{down}es ist 14.00 uhr""",skipgram,5010,spukhaus3,5,"""{down}{down}{down}es ist 14.00 uhr""",SL
"['""{down}{down}{down}es ist 14.00 uhr""', ':', 'PRINT', '_', 'RETURN', 'IF', 'j', '=']","""{down}suche jane""",skipgram,5010,spukhaus3,5,"""{down}suche jane""",SL
"['PRINT', 'q$', ';', '_', 'RETURN', 'j', '=', 'ASC']","""{rvs_on}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{SHIFT-POUND}""",skipgram,6010,spukhaus3,5,"""{rvs_on}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{SHIFT-POUND}""",SL
"['PRINT', 'q$', ';', '_']","""{rvs_on}{red}{up}{up}{right}{right}{right}{right}{right}{CBM-Q}""",skipgram,6045,spukhaus3,5,"""{rvs_on}{red}{up}{up}{right}{right}{right}{right}{right}{CBM-Q}""",SL
"['PRINT', 'q$', ';', '_', 'NEXT', ':', 'e', '=']","""du bist im schlaf-""",skipgram,6050,spukhaus3,5,"""du bist im schlaf-""",SL
"['PRINT', '_']","""zimmer""",skipgram,6055,spukhaus3,5,"""zimmer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40500', ':']","""oeffne tuer""",skipgram,6107,spukhaus3,5,"""oeffne tuer""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""n""']","""geh tuer""",skipgram,6108,spukhaus3,5,"""geh tuer""",SL
"['OR', 'vn$', '=', '_', 'THEN', '13000']","""n""",skipgram,6108,spukhaus3,5,"""n""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh tuer""']","""n""",skipgram,6110,spukhaus3,5,"""n""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""geh tuer""",skipgram,6110,spukhaus3,5,"""geh tuer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40500', ':']","""oeffne tuer""",skipgram,6115,spukhaus3,5,"""oeffne tuer""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""n""']","""geh tuer""",skipgram,6117,spukhaus3,5,"""geh tuer""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'GOSUB', '40400', ':']","""n""",skipgram,6117,spukhaus3,5,"""n""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh loch""']","""o""",skipgram,6120,spukhaus3,5,"""o""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""geh loch""",skipgram,6120,spukhaus3,5,"""geh loch""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh balkon""']","""w""",skipgram,6130,spukhaus3,5,"""w""",SL
"['OR', 'vn$', '=', '_', 'THEN', '9000', '""{right}""', 'right']","""geh balkon""",skipgram,6130,spukhaus3,5,"""geh balkon""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,6140,spukhaus3,5,"""sieh""",SL
"['7', ')', '=', '_', 'AND', 'pf', '<>', '1']","""teppich""",skipgram,6140,spukhaus3,5,"""teppich""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,6145,spukhaus3,5,"""sieh""",SL
"['7', ')', '=', '_', 'AND', 'pf', '=', '1']","""teppich""",skipgram,6145,spukhaus3,5,"""teppich""",SL
"['IF', 'vn$', '=', '_', 'AND', 'pf', '=', '1']","""nimm pflock""",skipgram,6147,spukhaus3,5,"""nimm pflock""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,6150,spukhaus3,5,"""sieh""",SL
"['4', ')', '=', '_', 'THEN', 'GOSUB', '41000', ':']","""wand""",skipgram,6150,spukhaus3,5,"""wand""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,6155,spukhaus3,5,"""sieh""",SL
"['4', ')', '=', '_', 'THEN', 'GOSUB', '41000', ':']","""bild""",skipgram,6155,spukhaus3,5,"""bild""",SL
"['IF', 'vn$', '=', '_', 'THEN', '6100']","""""",skipgram,6160,spukhaus3,5,"""""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'GOSUB', '47000', ':']","""schlaf""",skipgram,6170,spukhaus3,5,"""schlaf""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'gj', '=', '0']","""nimm messer""",skipgram,6180,spukhaus3,5,"""nimm messer""",SL
"[':', 'PRINT', 'q$', '_', '$', 'bb']","""ok hast genommen""",skipgram,6180,spukhaus3,5,"""ok hast genommen""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'sz', '=', '0']","""nimm streichholz""",skipgram,6200,spukhaus3,5,"""nimm streichholz""",SL
"['PRINT', '_']","""{clr}{down}{down}{red}der weg verzweigt""",skipgram,7005,spukhaus3,5,"""{clr}{down}{down}{red}der weg verzweigt""",SL
"['PRINT', '_', 'RESTORE', 'POKE', '36877', ',']","""{down}du kannst nach        {down}osten  (o)            {down}westen (w)""",skipgram,7010,spukhaus3,5,"""{down}du kannst nach        {down}osten  (o)            {down}westen (w)""",SL
"['PRINT', '_', 'FOR', 'j', '=', '1']","""{down}sueden (s)""",skipgram,7020,spukhaus3,5,"""{down}sueden (s)""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""s""",skipgram,7040,spukhaus3,5,"""s""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""o""",skipgram,7050,spukhaus3,5,"""o""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""w""",skipgram,7060,spukhaus3,5,"""w""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40000', ':']","""n""",skipgram,7070,spukhaus3,5,"""n""",SL
"['IF', 'vn$', '=', '_', 'THEN', '7030', 'FOR', 'k']","""""",skipgram,7080,spukhaus3,5,"""""",SL
"['1', 'THEN', 'PRINT', '_', 'RETURN', 'IF', 'a$', '=']","""{rvs_on}{red}{home}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-Q}""",skipgram,8020,spukhaus3,5,"""{rvs_on}{red}{home}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-Q}""",SL
"['PRINT', 'q$', ';', '_', 'IF', 'ASC', '(', 'a$']","""{rvs_on}{red}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-M}""",skipgram,8025,spukhaus3,5,"""{rvs_on}{red}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-M}""",SL
"['PRINT', 'q$', ';', '_', 'PRINT', '""{down}{down}{down}{black}  Weiter mit {rvs_on}^{rvs_off} !""', ':', 'POKE']","""du bist auf dem""",skipgram,8040,spukhaus3,5,"""du bist auf dem""",SL
"['PRINT', '_']","""dachboden""",skipgram,8045,spukhaus3,5,"""dachboden""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh luke""']","""o""",skipgram,8110,spukhaus3,5,"""o""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""geh luke""",skipgram,8110,spukhaus3,5,"""geh luke""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh tuer""']","""w""",skipgram,8115,spukhaus3,5,"""w""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""geh tuer""",skipgram,8115,spukhaus3,5,"""geh tuer""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""s""']","""n""",skipgram,8120,spukhaus3,5,"""n""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'GOSUB', '40000', ':']","""s""",skipgram,8120,spukhaus3,5,"""s""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,8140,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'THEN', 'IF', 'ph', '<>']","""truhe""",skipgram,8140,spukhaus3,5,"""truhe""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,8142,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'THEN', 'IF', 'ph', '=']","""truhe""",skipgram,8142,spukhaus3,5,"""truhe""",SL
"['IF', 'vn$', '=', '_', 'AND', 'ph', '=', '1']","""nimm pflock""",skipgram,8144,spukhaus3,5,"""nimm pflock""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,8150,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'AND', 'b1', '=', '0']","""paket""",skipgram,8150,spukhaus3,5,"""paket""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,8155,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'AND', 'b1', '=', '1']","""paket""",skipgram,8155,spukhaus3,5,"""paket""",SL
"['IF', 'vn$', '=', '_', 'AND', 'b1', '=', '1']","""nimm schluessel""",skipgram,8157,spukhaus3,5,"""nimm schluessel""",SL
"[':', 'PRINT', 'q$', '_', ':', 'h', '=', '1']","""ok hast genommen""",skipgram,8157,spukhaus3,5,"""ok hast genommen""",SL
"['IF', 'vn$', '=', '_', 'THEN', '8100']","""""",skipgram,8160,spukhaus3,5,"""""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'me', '=', '0']","""nimm messer""",skipgram,8180,spukhaus3,5,"""nimm messer""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'da', '=', '0']","""nimm kreuz""",skipgram,8200,spukhaus3,5,"""nimm kreuz""",SL
"['PRINT', '_', 'a', '=', 'PEEK', '(']","""{clr}{down}{down}{down}{red}du bist im garten     {down}du kannst nur durch   {down}die eingangstuer """,skipgram,9000,spukhaus3,5,"""{clr}{down}{down}{down}{red}du bist im garten     {down}du kannst nur durch   {down}die eingangstuer """,SL
"['PRINT', '_', 'nz', '=', 'PEEK', '(']","""{down}wieder ins            {down}spukschloss""",skipgram,9010,spukhaus3,5,"""{down}wieder ins            {down}spukschloss""",SL
"['PRINT', '_', 'PRINT', '""{clr}""', 'DATA', 'DATA']","""{clr}{down}{down}{red}du bist auf dem       {down}flur                  {down}du kannst nach""",skipgram,10005,spukhaus3,5,"""{clr}{down}{down}{red}du bist auf dem       {down}flur                  {down}du kannst nach""",SL
"['PRINT', '_', 'OPEN', 'pg', ',', 'pg']","""{down}osten (o)             {down}sueden (s),           {down}westen (w)""",skipgram,10010,spukhaus3,5,"""{down}osten (o)             {down}sueden (s),           {down}westen (w)""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""o""",skipgram,10020,spukhaus3,5,"""o""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""s""",skipgram,10030,spukhaus3,5,"""s""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""w""",skipgram,10040,spukhaus3,5,"""w""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40000', ':']","""n""",skipgram,10050,spukhaus3,5,"""n""",SL
"['IF', 'vn$', '=', '_', 'THEN', '10015', 'DATA', 'DATA']","""""",skipgram,10065,spukhaus3,5,"""""",SL
